Runtime of the hanoi program for n going from 1 to 15

n = 1	Runtime = 6.500013114418834e-07
n = 2	Runtime = 5.859983502887189e-07
n = 3	Runtime = 8.870010788086802e-07
n = 4	Runtime = 1.4049983292352408e-06
n = 5	Runtime = 2.7520000003278255e-06
n = 6	Runtime = 5.469999450724572e-06
n = 7	Runtime = 1.0710999049479142e-05
n = 8	Runtime = 4.2843999835895374e-05
n = 9	Runtime = 5.715400038752705e-05
n = 10	Runtime = 9.94910005829297e-05
n = 11	Runtime = 0.00017936599761014804
n = 12	Runtime = 0.00037553999936790206
n = 13	Runtime = 0.0007667550016776659
n = 14	Runtime = 0.001574654997966718
n = 15	Runtime = 0.002909722999902442


Total runtime of the test session is 0.006074553999496857 seconds
