Runtime of the hanoi program for n going from 1 to 20

n = 1	Runtime = 7.110029400791973e-07
n = 2	Runtime = 6.599984772037715e-07
n = 3	Runtime = 8.570023055654019e-07
n = 4	Runtime = 1.4099969121161848e-06
n = 5	Runtime = 2.6890011213254184e-06
n = 6	Runtime = 5.370999133447185e-06
n = 7	Runtime = 1.065900141838938e-05
n = 8	Runtime = 2.159500218112953e-05
n = 9	Runtime = 4.341200110502541e-05
n = 10	Runtime = 0.0001752480020513758
n = 11	Runtime = 0.00021676299729733728
n = 12	Runtime = 0.0003467229980742559
n = 13	Runtime = 0.0007312470006581862
n = 14	Runtime = 0.0013155980013834778
n = 15	Runtime = 0.002656649001437472
n = 16	Runtime = 0.0055611119969398715
n = 17	Runtime = 0.0107406440001796
n = 18	Runtime = 0.02157445299963001
n = 19	Runtime = 0.041030394000699744
n = 20	Runtime = 0.08397498799968162


Total runtime of the test session is 0.1684771920008643 seconds
