Runtime of the hanoi program for n going from 1 to 20

n = 1	Runtime = 5.609981599263847e-07
n = 2	Runtime = 5.850015440955758e-07
n = 3	Runtime = 8.14998202258721e-07
n = 4	Runtime = 1.3950011634733528e-06
n = 5	Runtime = 2.6900015654973686e-06
n = 6	Runtime = 5.402998795034364e-06
n = 7	Runtime = 1.0595002095215023e-05
n = 8	Runtime = 2.1528998331632465e-05
n = 9	Runtime = 4.294300015317276e-05
n = 10	Runtime = 0.00015251199874910526
n = 11	Runtime = 0.00019241200061514974
n = 12	Runtime = 0.00037907300065853633
n = 13	Runtime = 0.0007045440033834893
n = 14	Runtime = 0.0013423839991446584
n = 15	Runtime = 0.0026531270013947506
n = 16	Runtime = 0.0054856810020282865
n = 17	Runtime = 0.010600139998132363
n = 18	Runtime = 0.021626915000524605
n = 19	Runtime = 0.0420924339996418
n = 20	Runtime = 0.08400314099708339


Total runtime of the test session is 0.16939174300205195 seconds
