Runtime of the hanoi program for n going from 1 to 20

n = 1	Runtime = 7.779999577905983e-07
n = 2	Runtime = 7.369999366346747e-07
n = 3	Runtime = 7.589987944811583e-07
n = 4	Runtime = 1.4211000234354287e-05
n = 5	Runtime = 2.6130001060664654e-06
n = 6	Runtime = 5.666999641107395e-06
n = 7	Runtime = 1.046199759002775e-05
n = 8	Runtime = 3.594100053305738e-05
n = 9	Runtime = 5.645999772241339e-05
n = 10	Runtime = 0.00012457599950721487
n = 11	Runtime = 0.00018047099729301408
n = 12	Runtime = 0.0003670410005724989
n = 13	Runtime = 0.0006903169996803626
n = 14	Runtime = 0.0012906090014439542
n = 15	Runtime = 0.002652737999596866
n = 16	Runtime = 0.005714872000680771
n = 17	Runtime = 0.010450084002513904
n = 18	Runtime = 0.021709689000999788
n = 19	Runtime = 0.040787043999443995
n = 20	Runtime = 0.08363029500105768


Total runtime of the test session is 0.16778918099953444 seconds
