Runtime of the hanoi program for n going from 1 to 20

n = 1	Runtime = 6.800000846851617e-07
n = 2	Runtime = 5.680012691300362e-07
n = 3	Runtime = 8.409988367930055e-07
n = 4	Runtime = 1.4170000213198364e-06
n = 5	Runtime = 2.67700306721963e-06
n = 6	Runtime = 5.408001015894115e-06
n = 7	Runtime = 1.065600008587353e-05
n = 8	Runtime = 5.2724000852322206e-05
n = 9	Runtime = 6.0927999584237114e-05
n = 10	Runtime = 0.00014997900143498555
n = 11	Runtime = 0.0002896149999287445
n = 12	Runtime = 0.00039270100023713894
n = 13	Runtime = 0.0007961270021041855
n = 14	Runtime = 0.0013289939997775946
n = 15	Runtime = 0.0026998539979103953
n = 16	Runtime = 0.005641263000143226
n = 17	Runtime = 0.010807484002725687
n = 18	Runtime = 0.021460468997247517
n = 19	Runtime = 0.041793959000642644
n = 20	Runtime = 0.0845669150003232


Total runtime of the test session is 0.17013338100150577 seconds
