Runtime of the hanoi program for n going from 1 to 15

n = 1	Runtime = 6.139998731669039e-07
n = 2	Runtime = 6.210029823705554e-07
n = 3	Runtime = 8.010028977878392e-07
n = 4	Runtime = 1.429998519597575e-06
n = 5	Runtime = 2.758002665359527e-06
n = 6	Runtime = 5.383997631724924e-06
n = 7	Runtime = 1.0701998689910397e-05
n = 8	Runtime = 2.1411000489024445e-05
n = 9	Runtime = 4.225000157020986e-05
n = 10	Runtime = 8.498000170220621e-05
n = 11	Runtime = 0.00019341100050951354
n = 12	Runtime = 0.00032604599982732907
n = 13	Runtime = 0.0006905860027472954
n = 14	Runtime = 0.001385717998346081
n = 15	Runtime = 0.0028671539985225536


Total runtime of the test session is 0.005672371000400744 seconds
