Runtime of the hanoi program for n going from 1 to 15

n = 1	Runtime = 4.799985617864877e-07
n = 2	Runtime = 4.760004230774939e-07
n = 3	Runtime = 7.740018190816045e-07
n = 4	Runtime = 1.3690005289390683e-06
n = 5	Runtime = 2.715998562052846e-06
n = 6	Runtime = 5.607998900813982e-06
n = 7	Runtime = 1.089999932446517e-05
n = 8	Runtime = 2.154400135623291e-05
n = 9	Runtime = 4.378100129542872e-05
n = 10	Runtime = 0.00010035999730462208
n = 11	Runtime = 0.0001762529973348137
n = 12	Runtime = 0.0003392889993847348
n = 13	Runtime = 0.0006873810016259085
n = 14	Runtime = 0.0014419029976124875
n = 15	Runtime = 0.0031289110011130106


Total runtime of the test session is 0.006015458002366358 seconds
