Runtime of the hanoi program for n going from 1 to 15

n = 1	Runtime = 7.650014595128596e-07
n = 2	Runtime = 5.28998498339206e-07
n = 3	Runtime = 8.57999111758545e-07
n = 4	Runtime = 1.3889984984416515e-06
n = 5	Runtime = 2.773998858174309e-06
n = 6	Runtime = 5.3439980547409505e-06
n = 7	Runtime = 1.0615000064717606e-05
n = 8	Runtime = 3.360399932716973e-05
n = 9	Runtime = 5.1833998440997675e-05
n = 10	Runtime = 8.340999920619652e-05
n = 11	Runtime = 0.00017799900160753168
n = 12	Runtime = 0.0004624920002243016
n = 13	Runtime = 0.000780515001679305
n = 14	Runtime = 0.0015541520006081555
n = 15	Runtime = 0.0029069659976812545


Total runtime of the test session is 0.006118798999523278 seconds
