Runtime of the hanoi program for n going from 1 to 15

n = 1	Runtime = 4.979992809239775e-07
n = 2	Runtime = 5.799993232358247e-07
n = 3	Runtime = 7.560010999441147e-07
n = 4	Runtime = 1.4229990483727306e-06
n = 5	Runtime = 2.7649984986055642e-06
n = 6	Runtime = 5.457000952446833e-06
n = 7	Runtime = 1.091699959943071e-05
n = 8	Runtime = 2.14020001294557e-05
n = 9	Runtime = 4.245099989930168e-05
n = 10	Runtime = 9.665200195740908e-05
n = 11	Runtime = 0.0001684319977357518
n = 12	Runtime = 0.0003356439992785454
n = 13	Runtime = 0.0007509509996452834
n = 14	Runtime = 0.0014942269990569912
n = 15	Runtime = 0.0028309659974183887


Total runtime of the test session is 0.005807984998682514 seconds
