Average runtime of the hanoi program for n going from 0 to 100000 with 20 tests

n = 13900	Runtime = 0.0003038059985556174
n = 14000	Runtime = 0.0001806069994927384
n = 14100	Runtime = 0.00017020199811668135
n = 14200	Runtime = 0.00017674699847702868
n = 14300	Runtime = 0.0001731709999148734
n = 14400	Runtime = 0.00017938499877345748
n = 14500	Runtime = 0.0001781049977580551
n = 14600	Runtime = 0.00018381499830866233
n = 14700	Runtime = 0.00023842100199544802
n = 14800	Runtime = 0.00026907899882644415
n = 14900	Runtime = 0.00027422100174590014
n = 15000	Runtime = 0.00028921099874423817
n = 15100	Runtime = 0.000252453002758557
n = 15200	Runtime = 0.00022569100110558793
n = 15300	Runtime = 0.0002282919995195698
n = 15400	Runtime = 0.0002521440001146402
n = 15500	Runtime = 0.00025283099967055023
n = 15600	Runtime = 0.0003576769995561335
n = 15700	Runtime = 0.00025944500157493167
n = 15800	Runtime = 0.00025130399808404036
n = 15900	Runtime = 0.00021328599905245937
n = 16000	Runtime = 0.00022086299941292964
n = 16100	Runtime = 0.0002149339998140931
n = 16200	Runtime = 0.00021774299966637045
n = 16300	Runtime = 0.0002213300031144172
n = 16400	Runtime = 0.00021595399812213145
n = 16500	Runtime = 0.00021766200006823055
n = 16600	Runtime = 0.00023205500110634603
n = 16700	Runtime = 0.00022637000074610114
n = 16800	Runtime = 0.00022804800028097816
n = 16900	Runtime = 0.00022490199989988469
n = 17000	Runtime = 0.0002328789996681735
n = 17100	Runtime = 0.00023005600087344646
n = 17200	Runtime = 0.0002350510003452655
n = 17300	Runtime = 0.00029855699904146604
n = 17400	Runtime = 0.00024426700110780075
n = 17500	Runtime = 0.00024215600205934606
n = 17600	Runtime = 0.000248799999098992
n = 17700	Runtime = 0.00024368699814658612
n = 17800	Runtime = 0.0002449269995850045
n = 17900	Runtime = 0.00025478899988229387
n = 18000	Runtime = 0.00025824499971349724
n = 18100	Runtime = 0.00025326900140498765
n = 18200	Runtime = 0.00025635500060161576
n = 18300	Runtime = 0.00026081599935423583
n = 18400	Runtime = 0.0002629490008985158
n = 18500	Runtime = 0.000262333000137005
n = 18600	Runtime = 0.0003817079996224493
n = 18700	Runtime = 0.0003828090011666063
n = 18800	Runtime = 0.0003160839987685904
n = 18900	Runtime = 0.00027133199910167605
n = 19000	Runtime = 0.00030506899929605424
n = 19100	Runtime = 0.0002799239991873037
n = 19200	Runtime = 0.00032113999986904673
n = 19300	Runtime = 0.0003187769980286248
n = 19400	Runtime = 0.00030225500086089596
n = 19500	Runtime = 0.00040631499723531306
n = 19600	Runtime = 0.0003901720010617282
n = 19700	Runtime = 0.0003649139980552718
n = 19800	Runtime = 0.00038157400194904767
n = 19900	Runtime = 0.0004012650024378672
n = 20000	Runtime = 0.00031540599957224913
n = 20100	Runtime = 0.0003040960000362247
n = 20200	Runtime = 0.00030574999982491136
n = 20300	Runtime = 0.0003073249972658232
n = 20400	Runtime = 0.00032278300204779953
n = 20500	Runtime = 0.00030919600249035284
n = 20600	Runtime = 0.00031510200278717093
n = 20700	Runtime = 0.00031768999906489626
n = 20800	Runtime = 0.0003346599987708032
n = 20900	Runtime = 0.00033083900052588433
n = 21000	Runtime = 0.0003219739992346149
n = 21100	Runtime = 0.00038973299888311885
n = 21200	Runtime = 0.00036349899892229587
n = 21300	Runtime = 0.00033144299959531054
n = 21400	Runtime = 0.0003360520022397395
n = 21500	Runtime = 0.0003437450031924527
n = 21600	Runtime = 0.00033977700149989687
n = 21700	Runtime = 0.0003454990001046099
n = 21800	Runtime = 0.0003545909967215266
n = 21900	Runtime = 0.000349879999703262
n = 22000	Runtime = 0.00035622699942905456
n = 22100	Runtime = 0.00035154000215698034
n = 22200	Runtime = 0.0003639369970187545
n = 22300	Runtime = 0.00043082100091851316
n = 22400	Runtime = 0.0003697100000863429
n = 22500	Runtime = 0.00037324200093280524
n = 22600	Runtime = 0.0003675599982670974
n = 22700	Runtime = 0.00036970299697713926
n = 22800	Runtime = 0.00037254900234984234
n = 22900	Runtime = 0.0003776080011448357
n = 23000	Runtime = 0.0003913309992640279
n = 23100	Runtime = 0.00038451599903055467
n = 23200	Runtime = 0.00039347699930658564
n = 23300	Runtime = 0.00048016899745562114
n = 23400	Runtime = 0.0004946509980072733
