Runtime of the suite program for n going from 0 to 100000

n = 0	Runtime = 8.559982234146446e-07
n = 100	Runtime = 1.3073000445729122e-05
n = 200	Runtime = 1.2600001355167478e-05
n = 300	Runtime = 3.236799966543913e-05
n = 400	Runtime = 2.8114001906942576e-05
n = 500	Runtime = 1.5978002920746803e-05
n = 600	Runtime = 1.6358000721083954e-05
n = 700	Runtime = 1.7709000530885532e-05
n = 800	Runtime = 3.473299875622615e-05
n = 900	Runtime = 1.663000148255378e-05
n = 1000	Runtime = 4.639499820768833e-05
n = 1100	Runtime = 3.2465999538544565e-05
n = 1200	Runtime = 3.490499875624664e-05
n = 1300	Runtime = 1.924699972732924e-05
n = 1400	Runtime = 5.3305997425923124e-05
n = 1500	Runtime = 4.968799839843996e-05
n = 1600	Runtime = 2.3322001652559265e-05
n = 1700	Runtime = 2.150399814127013e-05
n = 1800	Runtime = 3.604499943321571e-05
n = 1900	Runtime = 2.4345998099306598e-05
n = 2000	Runtime = 2.6665999030228704e-05
n = 2100	Runtime = 2.4909997591748834e-05
n = 2200	Runtime = 2.627599678817205e-05
n = 2300	Runtime = 3.5870001738658175e-05
n = 2400	Runtime = 2.8004000341752544e-05
n = 2500	Runtime = 2.650299938977696e-05
n = 2600	Runtime = 2.8640999516937882e-05
n = 2700	Runtime = 2.794299871311523e-05
n = 2800	Runtime = 3.168799958075397e-05
n = 2900	Runtime = 3.0993000109447166e-05
n = 3000	Runtime = 3.3366999559802935e-05
n = 3100	Runtime = 3.0051000067032874e-05
n = 3200	Runtime = 3.495800046948716e-05
n = 3300	Runtime = 3.471200034255162e-05
n = 3400	Runtime = 3.3937998523470014e-05
n = 3500	Runtime = 6.364100045175292e-05
n = 3600	Runtime = 4.8728998081060126e-05
n = 3700	Runtime = 3.752699922188185e-05
n = 3800	Runtime = 6.552799823111854e-05
n = 3900	Runtime = 8.038099986151792e-05
n = 4000	Runtime = 4.1977000364568084e-05
n = 4100	Runtime = 6.389699774445035e-05
n = 4200	Runtime = 5.3743999160360545e-05
n = 4300	Runtime = 4.023599831270985e-05
n = 4400	Runtime = 4.2379000660730526e-05
n = 4500	Runtime = 4.275700121070258e-05
n = 4600	Runtime = 4.6451998059637845e-05
n = 4700	Runtime = 4.486600300879218e-05
n = 4800	Runtime = 4.751999949803576e-05
n = 4900	Runtime = 4.6764998842263594e-05
n = 5000	Runtime = 7.211899719550274e-05
n = 5100	Runtime = 4.981399979442358e-05
n = 5200	Runtime = 5.015799979446456e-05
n = 5300	Runtime = 5.184199835639447e-05
n = 5400	Runtime = 5.264799983706325e-05
n = 5500	Runtime = 5.434300328488462e-05
n = 5600	Runtime = 5.654900087392889e-05
n = 5700	Runtime = 5.3886000387137756e-05
n = 5800	Runtime = 5.9699999837903306e-05
n = 5900	Runtime = 5.89320006838534e-05
n = 6000	Runtime = 6.031300290487707e-05
n = 6100	Runtime = 5.8899000578094274e-05
n = 6200	Runtime = 5.749900083173998e-05
n = 6300	Runtime = 5.8829999034060165e-05
n = 6400	Runtime = 6.569000106537715e-05
n = 6500	Runtime = 6.085600034566596e-05
n = 6600	Runtime = 6.513100015581585e-05
n = 6700	Runtime = 6.248900172067806e-05
n = 6800	Runtime = 6.560100155184045e-05
n = 6900	Runtime = 6.623100125580095e-05
n = 7000	Runtime = 6.867100091767497e-05
n = 7100	Runtime = 7.421800182783045e-05
n = 7200	Runtime = 6.973299969104119e-05
n = 7300	Runtime = 7.077999907778576e-05
n = 7400	Runtime = 7.406599979731254e-05
n = 7500	Runtime = 7.636400187038817e-05
n = 7600	Runtime = 7.738299973425455e-05
n = 7700	Runtime = 7.855999865569174e-05
n = 7800	Runtime = 8.214699846575968e-05
n = 7900	Runtime = 8.008099757716991e-05
n = 8000	Runtime = 8.492599954479374e-05
n = 8100	Runtime = 8.118799814837985e-05
n = 8200	Runtime = 7.980499867699109e-05
n = 8300	Runtime = 8.343499939655885e-05
n = 8400	Runtime = 8.673800039105117e-05
n = 8500	Runtime = 8.786800026427954e-05
n = 8600	Runtime = 8.803400123724714e-05
n = 8700	Runtime = 9.293100083596073e-05
n = 8800	Runtime = 9.238499842467718e-05
n = 8900	Runtime = 0.0001365329990221653
n = 9000	Runtime = 0.0001266390027012676
n = 9100	Runtime = 0.00013603099796455353
n = 9200	Runtime = 0.00011320500198053196
n = 9300	Runtime = 9.569900066708215e-05
n = 9400	Runtime = 0.00010081700020236894
n = 9500	Runtime = 9.984799908124842e-05
n = 9600	Runtime = 0.00010804700286826119
n = 9700	Runtime = 0.00010775299961096607
n = 9800	Runtime = 0.00010530099825700745
n = 9900	Runtime = 0.00010846800068975426
n = 10000	Runtime = 0.0001087199998437427
n = 10100	Runtime = 0.00011104700024588965
n = 10200	Runtime = 0.0001154689998656977
n = 10300	Runtime = 0.00011456100037321448
n = 10400	Runtime = 0.00011793100202339701
n = 10500	Runtime = 0.00011302600250928663
n = 10600	Runtime = 0.0001198799982375931
n = 10700	Runtime = 0.0001194059987028595
n = 10800	Runtime = 0.00012316500215092674
n = 10900	Runtime = 0.0001300469994021114
n = 11000	Runtime = 0.0001297369999520015
n = 11100	Runtime = 0.00013183500050217845
n = 11200	Runtime = 0.00013389500236371532
n = 11300	Runtime = 0.00013093699817545712
n = 11400	Runtime = 0.00013231900084065273
n = 11500	Runtime = 0.00013985500117996708
n = 11600	Runtime = 0.00014356500105350278
n = 11700	Runtime = 0.00014019700029166415
n = 11800	Runtime = 0.00014349100092658773
n = 11900	Runtime = 0.00014364899834617972
n = 12000	Runtime = 0.00014761700003873557
n = 12100	Runtime = 0.00019173599866917357
n = 12200	Runtime = 0.00014340800044010393
n = 12300	Runtime = 0.00013922200014349073
