Runtime of the suite program for n going from 0 to 100000

n = 0	Runtime = 1.0299991117790341e-06
n = 100	Runtime = 1.3476001186063513e-05
n = 200	Runtime = 1.3010001566726714e-05
n = 300	Runtime = 1.444200097466819e-05
n = 400	Runtime = 1.499399877502583e-05
n = 500	Runtime = 1.6133999451994896e-05
n = 600	Runtime = 1.6770998627180234e-05
n = 700	Runtime = 1.7840000509750098e-05
n = 800	Runtime = 1.8251997971674427e-05
n = 900	Runtime = 1.650700141908601e-05
n = 1000	Runtime = 1.9634997443063185e-05
n = 1100	Runtime = 1.930100188474171e-05
n = 1200	Runtime = 2.0283998310333118e-05
n = 1300	Runtime = 1.982700268854387e-05
n = 1400	Runtime = 3.59010009560734e-05
n = 1500	Runtime = 2.319200211786665e-05
n = 1600	Runtime = 2.3354001314146444e-05
n = 1700	Runtime = 2.1486001060111448e-05
n = 1800	Runtime = 2.298400067957118e-05
n = 1900	Runtime = 2.478600072208792e-05
n = 2000	Runtime = 2.6888999855145812e-05
n = 2100	Runtime = 2.516899985494092e-05
n = 2200	Runtime = 3.95399983972311e-05
n = 2300	Runtime = 2.8539998311316594e-05
n = 2400	Runtime = 2.7778001822298393e-05
n = 2500	Runtime = 2.6645997422747314e-05
n = 2600	Runtime = 2.8663998818956316e-05
n = 2700	Runtime = 2.830599987646565e-05
n = 2800	Runtime = 3.265000123064965e-05
n = 2900	Runtime = 3.256300260545686e-05
n = 3000	Runtime = 3.425100294407457e-05
n = 3100	Runtime = 3.0383998819161206e-05
n = 3200	Runtime = 4.698100019595586e-05
n = 3300	Runtime = 3.403500159038231e-05
n = 3400	Runtime = 6.138800017652102e-05
n = 3500	Runtime = 3.53700015693903e-05
n = 3600	Runtime = 3.5253997339168563e-05
n = 3700	Runtime = 3.674499748740345e-05
n = 3800	Runtime = 5.371400038711727e-05
n = 3900	Runtime = 5.5917000281624496e-05
n = 4000	Runtime = 8.228200022131205e-05
n = 4100	Runtime = 3.6890000046696514e-05
n = 4200	Runtime = 8.176700066542253e-05
n = 4300	Runtime = 5.5046999477781355e-05
n = 4400	Runtime = 5.737400351790711e-05
n = 4500	Runtime = 5.7558998378226534e-05
n = 4600	Runtime = 4.8501999117434025e-05
n = 4700	Runtime = 4.642000203602947e-05
n = 4800	Runtime = 4.887800241704099e-05
n = 4900	Runtime = 4.8244000936392695e-05
n = 5000	Runtime = 4.809399979421869e-05
n = 5100	Runtime = 5.2597999456338584e-05
