Runtime of the fibonacci program for n going from 0 to 100

n = 0	Runtime = 5.04998752148822e-07
n = 1	Runtime = 2.659999154275283e-07
n = 2	Runtime = 7.509988790843636e-07
n = 3	Runtime = 6.939990271348506e-07
n = 4	Runtime = 7.350008672801778e-07
n = 5	Runtime = 8.280003385152668e-07
n = 6	Runtime = 9.440009307581931e-07
n = 7	Runtime = 1.040998540702276e-06
n = 8	Runtime = 1.1470001481939107e-06
n = 9	Runtime = 1.2450000212993473e-06
n = 10	Runtime = 1.4030010788701475e-06
n = 11	Runtime = 1.4390006981557235e-06
n = 12	Runtime = 1.541999154142104e-06
n = 13	Runtime = 1.6809990484034643e-06
n = 14	Runtime = 1.7599995771888644e-06
n = 15	Runtime = 1.8390001059742644e-06
n = 16	Runtime = 1.9480012269923463e-06
n = 17	Runtime = 2.0309998944867402e-06
n = 18	Runtime = 2.1660016500391066e-06
n = 19	Runtime = 2.278000465594232e-06
n = 20	Runtime = 2.345999746466987e-06
n = 21	Runtime = 2.434000634821132e-06
n = 22	Runtime = 2.5609988369978964e-06
n = 23	Runtime = 2.630000381032005e-06
n = 24	Runtime = 2.77800063486211e-06
n = 25	Runtime = 2.8029990062350407e-06
n = 26	Runtime = 3.0650007829535753e-06
n = 27	Runtime = 3.1209983717417344e-06
n = 28	Runtime = 3.268000000389293e-06
n = 29	Runtime = 3.2770003599580377e-06
n = 30	Runtime = 3.3569995139259845e-06
n = 31	Runtime = 3.4919994504889473e-06
n = 32	Runtime = 3.5810007830150425e-06
n = 33	Runtime = 3.737999577424489e-06
n = 34	Runtime = 3.952000042772852e-06
n = 35	Runtime = 3.875000402331352e-06
n = 36	Runtime = 3.9499991544289514e-06
n = 37	Runtime = 4.0930008253781125e-06
n = 38	Runtime = 4.285000613890588e-06
n = 39	Runtime = 4.329000148572959e-06
n = 40	Runtime = 4.341000021668151e-06
n = 41	Runtime = 1.740100015013013e-05
n = 42	Runtime = 4.5960005081724375e-06
n = 43	Runtime = 4.645000444725156e-06
n = 44	Runtime = 4.839999746764079e-06
n = 45	Runtime = 4.925001121591777e-06
n = 46	Runtime = 5.052001142757945e-06
n = 47	Runtime = 5.118001354276203e-06
n = 48	Runtime = 5.271000190987252e-06
n = 49	Runtime = 5.354999302653596e-06
n = 50	Runtime = 5.4060001275502145e-06
n = 51	Runtime = 5.508998583536595e-06
n = 52	Runtime = 5.661999239237048e-06
n = 53	Runtime = 5.750000127591193e-06
n = 54	Runtime = 5.803000021842308e-06
n = 55	Runtime = 5.947000317974016e-06
n = 56	Runtime = 6.035999831510708e-06
n = 57	Runtime = 6.1489990912377834e-06
n = 58	Runtime = 6.195999958436005e-06
n = 59	Runtime = 6.309001037152484e-06
n = 60	Runtime = 6.417998520191759e-06
n = 61	Runtime = 6.964999556657858e-06
n = 62	Runtime = 1.9207000150345266e-05
n = 63	Runtime = 6.7209984990768135e-06
n = 64	Runtime = 6.653999662376009e-06
n = 65	Runtime = 6.8989993451396e-06
n = 66	Runtime = 6.930000381544232e-06
n = 67	Runtime = 7.037000614218414e-06
n = 68	Runtime = 7.140999514376745e-06
n = 69	Runtime = 7.1859994932310656e-06
n = 70	Runtime = 7.276999895111658e-06
n = 71	Runtime = 7.276999895111658e-06
n = 72	Runtime = 7.602000550832599e-06
n = 73	Runtime = 7.546999768237583e-06
n = 74	Runtime = 7.656999514438212e-06
n = 75	Runtime = 7.872999049141072e-06
n = 76	Runtime = 8.144999810610898e-06
n = 77	Runtime = 8.217999493354e-06
n = 78	Runtime = 8.253999112639576e-06
n = 79	Runtime = 8.23499976831954e-06
n = 80	Runtime = 8.417000572080724e-06
n = 81	Runtime = 8.560000424040481e-06
n = 82	Runtime = 8.628998330095783e-06
n = 83	Runtime = 8.699000318301842e-06
n = 84	Runtime = 8.802999218460172e-06
n = 85	Runtime = 8.80699917615857e-06
n = 86	Runtime = 8.924000212573446e-06
n = 87	Runtime = 9.04400076251477e-06
n = 88	Runtime = 9.371000487590209e-06
n = 89	Runtime = 9.319001037511043e-06
n = 90	Runtime = 9.437000699108467e-06
n = 91	Runtime = 9.605000741430558e-06
n = 92	Runtime = 9.643001249060035e-06
n = 93	Runtime = 9.913999747368507e-06
n = 94	Runtime = 9.889001375995576e-06
n = 95	Runtime = 1.00050001492491e-05
n = 96	Runtime = 1.0098001439473592e-05
n = 97	Runtime = 1.0141000529984012e-05
n = 98	Runtime = 1.0253001164528541e-05
n = 99	Runtime = 1.0419000318506733e-05
n = 100	Runtime = 1.043900010699872e-05


Total runtime of the test session is 0.0007344330006162636 seconds
