Runtime of the fibonacci program for n going from 0 to 100

n = 0	Runtime = 5.510009941644967e-07
n = 1	Runtime = 2.2600033844355494e-07
n = 2	Runtime = 7.920007192296907e-07
n = 3	Runtime = 6.940008461242542e-07
n = 4	Runtime = 7.429989636875689e-07
n = 5	Runtime = 8.209990483010188e-07
n = 6	Runtime = 9.610012057237327e-07
n = 7	Runtime = 1.0490002750884742e-06
n = 8	Runtime = 1.1629999789875e-06
n = 9	Runtime = 1.2399996194289997e-06
n = 10	Runtime = 1.413000063621439e-06
n = 11	Runtime = 1.4639990695286542e-06
n = 12	Runtime = 1.5129990060813725e-06
n = 13	Runtime = 1.6819994925754145e-06
n = 14	Runtime = 1.7519996617920697e-06
n = 15	Runtime = 1.8150003597838804e-06
n = 16	Runtime = 1.9199997041141614e-06
n = 17	Runtime = 2.004000634769909e-06
n = 18	Runtime = 2.1969990484649315e-06
n = 19	Runtime = 2.2629992599831894e-06
n = 20	Runtime = 2.38499887927901e-06
n = 21	Runtime = 2.42300120589789e-06
n = 22	Runtime = 2.6029993023257703e-06
n = 23	Runtime = 2.676999429240823e-06
n = 24	Runtime = 2.749999111983925e-06
n = 25	Runtime = 3.15200122713577e-06
n = 26	Runtime = 2.927999958046712e-06
n = 27	Runtime = 3.0230003176257014e-06
n = 28	Runtime = 3.269000444561243e-06
n = 29	Runtime = 3.2009993446990848e-06
n = 30	Runtime = 3.356000888743438e-06
n = 31	Runtime = 3.4660006349440664e-06
n = 32	Runtime = 3.5270004445919767e-06
n = 33	Runtime = 3.634000677266158e-06
n = 34	Runtime = 3.6679994082078338e-06
n = 35	Runtime = 3.772000127355568e-06
n = 36	Runtime = 3.946999640902504e-06
n = 37	Runtime = 4.0240011003334075e-06
n = 38	Runtime = 4.21699951402843e-06
n = 39	Runtime = 1.7248999938601628e-05
n = 40	Runtime = 4.325998816057108e-06
n = 41	Runtime = 4.546000127447769e-06
n = 42	Runtime = 4.5199994929134846e-06
n = 43	Runtime = 4.610999894794077e-06
n = 44	Runtime = 4.823999915970489e-06
n = 45	Runtime = 4.936999175697565e-06
n = 46	Runtime = 1.808299930416979e-05
n = 47	Runtime = 5.10300014866516e-06
n = 48	Runtime = 5.3419989853864536e-06
n = 49	Runtime = 5.384999894886278e-06
n = 50	Runtime = 5.533000148716383e-06
n = 51	Runtime = 5.456000508274883e-06
n = 52	Runtime = 5.620999218081124e-06
n = 53	Runtime = 5.649000740959309e-06
n = 54	Runtime = 5.824998879688792e-06
n = 55	Runtime = 5.857998985447921e-06
n = 56	Runtime = 6.043999746907502e-06
n = 57	Runtime = 6.092001058277674e-06
n = 58	Runtime = 6.140000550658442e-06
n = 59	Runtime = 6.251000741031021e-06
n = 60	Runtime = 6.459998985519633e-06
n = 61	Runtime = 6.878000931465067e-06
n = 62	Runtime = 6.8689987529069185e-06
n = 63	Runtime = 6.7209984990768135e-06
n = 64	Runtime = 6.9210000219754875e-06
n = 65	Runtime = 6.905000191181898e-06
n = 66	Runtime = 7.246000677696429e-06
n = 67	Runtime = 7.160000677686185e-06
n = 68	Runtime = 7.346001439145766e-06
n = 69	Runtime = 7.378001100732945e-06
n = 70	Runtime = 7.606999133713543e-06
n = 71	Runtime = 7.775000995025039e-06
n = 72	Runtime = 7.721000656601973e-06
n = 73	Runtime = 7.831000402802601e-06
n = 74	Runtime = 8.01799978944473e-06
n = 75	Runtime = 8.120001439237967e-06
n = 76	Runtime = 8.347000402864069e-06
n = 77	Runtime = 2.110800051013939e-05
n = 78	Runtime = 8.3760005509248e-06
n = 79	Runtime = 8.39300082589034e-06
n = 80	Runtime = 8.506000085617416e-06
n = 81	Runtime = 8.58899875311181e-06
n = 82	Runtime = 8.680999599164352e-06
n = 83	Runtime = 8.625000191386789e-06
n = 84	Runtime = 1.1048001397284679e-05
n = 85	Runtime = 9.096000212593935e-06
n = 86	Runtime = 9.25799940887373e-06
n = 87	Runtime = 9.159999535768293e-06
n = 88	Runtime = 9.289000445278361e-06
n = 89	Runtime = 9.346000297227874e-06
n = 90	Runtime = 9.552000847179443e-06
n = 91	Runtime = 9.661000149208121e-06
n = 92	Runtime = 9.797000529943034e-06
n = 93	Runtime = 9.85000042419415e-06
n = 94	Runtime = 9.937999493558891e-06
n = 95	Runtime = 1.0196999937761575e-05
n = 96	Runtime = 1.013000110106077e-05
n = 97	Runtime = 1.0339001164538786e-05
n = 98	Runtime = 1.034500019159168e-05
n = 99	Runtime = 1.0450999980093911e-05
n = 100	Runtime = 1.0773001122288406e-05


Total runtime of the test session is 0.0007802680011081975 seconds
