Runtime of the fibonacci program for n going from 0 to 100

n = 0	Runtime = 4.3900035961996764e-07
n = 1	Runtime = 2.7900023269467056e-07
n = 2	Runtime = 7.180005923146382e-07
n = 3	Runtime = 7.0999885792844e-07
n = 4	Runtime = 7.580001692986116e-07
n = 5	Runtime = 8.469996828353032e-07
n = 6	Runtime = 9.409995982423425e-07
n = 7	Runtime = 1.0620005923556164e-06
n = 8	Runtime = 1.205000444315374e-06
n = 9	Runtime = 1.217000317410566e-06
n = 10	Runtime = 1.3509998098015785e-06
n = 11	Runtime = 1.471998984925449e-06
n = 12	Runtime = 1.5429995983140543e-06
n = 13	Runtime = 1.6650010365992785e-06
n = 14	Runtime = 1.7490001482656226e-06
n = 15	Runtime = 1.81299947143998e-06
n = 16	Runtime = 1.8749997252598405e-06
n = 17	Runtime = 2.007998773478903e-06
n = 18	Runtime = 2.1800005924887955e-06
n = 19	Runtime = 2.253000275231898e-06
n = 20	Runtime = 1.5278999853762798e-05
n = 21	Runtime = 2.442999175400473e-06
n = 22	Runtime = 2.5230001483578235e-06
n = 23	Runtime = 2.627000867505558e-06
n = 24	Runtime = 2.751001375145279e-06
n = 25	Runtime = 2.811000740621239e-06
n = 26	Runtime = 2.882999979192391e-06
n = 27	Runtime = 3.0480005079880357e-06
n = 28	Runtime = 3.179000486852601e-06
n = 29	Runtime = 3.2269999792333692e-06
n = 30	Runtime = 3.3209998946404085e-06
n = 31	Runtime = 3.4439999581081793e-06
n = 32	Runtime = 3.557999662007205e-06
n = 33	Runtime = 3.597000613808632e-06
n = 34	Runtime = 3.6960009310860187e-06
n = 35	Runtime = 3.851999281323515e-06
n = 36	Runtime = 3.962999471696094e-06
n = 37	Runtime = 4.030000127386302e-06
n = 38	Runtime = 4.135999915888533e-06
n = 39	Runtime = 4.225001248414628e-06
n = 40	Runtime = 4.341000021668151e-06
n = 41	Runtime = 4.406998414197005e-06
n = 42	Runtime = 4.593999619828537e-06
n = 43	Runtime = 4.451001586858183e-06
n = 44	Runtime = 1.8127000657841563e-05
n = 45	Runtime = 4.929001079290174e-06
n = 46	Runtime = 4.9580012273509055e-06
n = 47	Runtime = 5.0319995352765545e-06
n = 48	Runtime = 5.1630013331305236e-06
n = 49	Runtime = 5.325999154592864e-06
n = 50	Runtime = 5.468000381370075e-06
n = 51	Runtime = 5.5390009947586805e-06
n = 52	Runtime = 5.653999323840253e-06
n = 53	Runtime = 5.770998541265726e-06
n = 54	Runtime = 5.984000381431542e-06
n = 55	Runtime = 5.956999302725308e-06
n = 56	Runtime = 6.039999789209105e-06
n = 57	Runtime = 6.1849987105233595e-06
n = 58	Runtime = 6.297999789239839e-06
n = 59	Runtime = 6.410000423784368e-06
n = 60	Runtime = 6.457001290982589e-06
n = 61	Runtime = 6.8809986260021105e-06
n = 62	Runtime = 6.756999937351793e-06
n = 63	Runtime = 7.048000043141656e-06
n = 64	Runtime = 7.0690002758055925e-06
n = 65	Runtime = 7.421000191243365e-06
n = 66	Runtime = 7.20999923942145e-06
n = 67	Runtime = 7.20999923942145e-06
n = 68	Runtime = 7.276999895111658e-06
n = 69	Runtime = 7.541000741184689e-06
n = 70	Runtime = 7.48799902794417e-06
n = 71	Runtime = 7.575999916298315e-06
n = 72	Runtime = 7.651999112567864e-06
n = 73	Runtime = 7.958999049151316e-06
n = 74	Runtime = 7.949000064400025e-06
n = 75	Runtime = 2.0244000552338548e-05
n = 76	Runtime = 1.0212999768555164e-05
n = 77	Runtime = 8.279001121991314e-06
n = 78	Runtime = 8.224000339396298e-06
n = 79	Runtime = 8.289998731925152e-06
n = 80	Runtime = 8.366001566173509e-06
n = 81	Runtime = 8.457000149064697e-06
n = 82	Runtime = 8.596000043326057e-06
n = 83	Runtime = 8.674000127939507e-06
n = 84	Runtime = 8.787001206655987e-06
n = 85	Runtime = 8.818000424071215e-06
n = 86	Runtime = 9.039000360644422e-06
n = 87	Runtime = 9.110999599215575e-06
n = 88	Runtime = 9.188001058646478e-06
n = 89	Runtime = 9.388999387738295e-06
n = 90	Runtime = 9.370000043418258e-06
n = 91	Runtime = 9.543000487610698e-06
n = 92	Runtime = 9.859999408945441e-06
n = 93	Runtime = 9.83199970505666e-06
n = 94	Runtime = 2.341499930480495e-05
n = 95	Runtime = 2.329299968550913e-05
n = 96	Runtime = 1.0302999726263806e-05
n = 97	Runtime = 1.0461999409017153e-05
n = 98	Runtime = 1.056300061463844e-05
n = 99	Runtime = 2.4012999347178265e-05
n = 100	Runtime = 1.0837000445462763e-05


Total runtime of the test session is 0.0008318219988723285 seconds
