Runtime of the fibonacci program for n going from 0 to 100

n = 0	Runtime = 7.140006346162409e-07
n = 1	Runtime = 3.2900061341933906e-07
n = 2	Runtime = 8.719998731976375e-07
n = 3	Runtime = 8.21999492472969e-07
n = 4	Runtime = 8.189999789465219e-07
n = 5	Runtime = 8.560000424040481e-07
n = 6	Runtime = 9.920004231389612e-07
n = 7	Runtime = 1.0579988156678155e-06
n = 8	Runtime = 1.128999429056421e-06
n = 9	Runtime = 1.2359996617306024e-06
n = 10	Runtime = 1.365000571240671e-06
n = 11	Runtime = 1.4379984349943697e-06
n = 12	Runtime = 1.5469995560124516e-06
n = 13	Runtime = 1.7430011212127283e-06
n = 14	Runtime = 1.8319988157600164e-06
n = 15	Runtime = 1.4029999874765053e-05
n = 16	Runtime = 1.9109993445454165e-06
n = 17	Runtime = 1.986001734621823e-06
n = 18	Runtime = 2.2100011847214773e-06
n = 19	Runtime = 2.2719996195519343e-06
n = 20	Runtime = 1.5595000149914995e-05
n = 21	Runtime = 2.4829987523844466e-06
n = 22	Runtime = 2.5560002541169524e-06
n = 23	Runtime = 2.655000571394339e-06
n = 24	Runtime = 2.7459991542855278e-06
n = 25	Runtime = 2.8569993446581066e-06
n = 26	Runtime = 2.889000825234689e-06
n = 27	Runtime = 3.1849995139054954e-06
n = 28	Runtime = 3.3740016078809276e-06
n = 29	Runtime = 3.4059994504787028e-06
n = 30	Runtime = 3.441999069764279e-06
n = 31	Runtime = 2.1048999769845977e-05
n = 32	Runtime = 3.637998815975152e-06
n = 33	Runtime = 3.679000656120479e-06
n = 34	Runtime = 3.873001332976855e-06
n = 35	Runtime = 3.903000106220134e-06
n = 36	Runtime = 4.032999640912749e-06
n = 37	Runtime = 1.7076001313398592e-05
n = 38	Runtime = 4.3119998736074194e-06
n = 39	Runtime = 4.3479994928929955e-06
n = 40	Runtime = 4.399000317789614e-06
n = 41	Runtime = 4.555000487016514e-06
n = 42	Runtime = 4.702000296674669e-06
n = 43	Runtime = 4.671999704441987e-06
n = 44	Runtime = 4.786999852512963e-06
n = 45	Runtime = 4.929999704472721e-06
n = 46	Runtime = 5.0270009523956105e-06
n = 47	Runtime = 5.1200004236306995e-06
n = 48	Runtime = 5.307998435455374e-06
n = 49	Runtime = 5.4349984566215426e-06
n = 50	Runtime = 5.500000042957254e-06
n = 51	Runtime = 5.509999027708545e-06
n = 52	Runtime = 5.582000085269101e-06
n = 53	Runtime = 1.8152999473386444e-05
n = 54	Runtime = 5.707999662263319e-06
n = 55	Runtime = 5.746998795075342e-06
n = 56	Runtime = 5.8850000641541556e-06
n = 57	Runtime = 5.996998879709281e-06
n = 58	Runtime = 6.10999995842576e-06
n = 59	Runtime = 6.230000508367084e-06
n = 60	Runtime = 6.225998731679283e-06
n = 61	Runtime = 6.672999006696045e-06
n = 62	Runtime = 6.674001269857399e-06
n = 63	Runtime = 6.644000677624717e-06
n = 64	Runtime = 6.76099989505019e-06
n = 65	Runtime = 6.889000360388309e-06
n = 66	Runtime = 6.969999958528206e-06
n = 67	Runtime = 7.07400067767594e-06
n = 68	Runtime = 7.163000191212632e-06
n = 69	Runtime = 7.2109996835934e-06
n = 70	Runtime = 1.9304001398268156e-05
n = 71	Runtime = 7.201999324024655e-06
n = 72	Runtime = 7.278000339283608e-06
n = 73	Runtime = 7.425000148941763e-06
n = 74	Runtime = 7.541999366367236e-06
n = 75	Runtime = 7.716000254731625e-06
n = 76	Runtime = 7.978998837643303e-06
n = 77	Runtime = 7.930999345262535e-06
n = 78	Runtime = 8.074999641394243e-06
n = 79	Runtime = 8.095001248875633e-06
n = 80	Runtime = 8.143999366438948e-06
n = 81	Runtime = 8.2949991337955e-06
n = 82	Runtime = 8.379000064451247e-06
n = 83	Runtime = 8.463000995106995e-06
n = 84	Runtime = 8.60799991642125e-06
n = 85	Runtime = 8.608998541603796e-06
n = 86	Runtime = 8.742001227801666e-06
n = 87	Runtime = 8.770999556872994e-06
n = 88	Runtime = 2.206699900852982e-05
n = 89	Runtime = 2.371300070080906e-05
n = 90	Runtime = 9.360001058666967e-06
n = 91	Runtime = 9.759998647496104e-06
n = 92	Runtime = 9.778001185622998e-06
n = 93	Runtime = 9.823999789659865e-06
n = 94	Runtime = 2.2046999220037833e-05
n = 95	Runtime = 9.78900061454624e-06
n = 96	Runtime = 9.944998964783736e-06
n = 97	Runtime = 9.995999789680354e-06
n = 98	Runtime = 1.0022000424214639e-05
n = 99	Runtime = 1.0129999282071367e-05
n = 100	Runtime = 1.0168001608690247e-05


Total runtime of the test session is 0.0008233249991462799 seconds
