Runtime of the suite program for n going from 0 to 20

n = 0	Runtime = 4.5600245357491076e-07
n = 1	Runtime = 1.8400169210508466e-07
n = 2	Runtime = 5.969995982013643e-07
n = 3	Runtime = 5.539986887015402e-07
n = 4	Runtime = 1.1170013749506325e-06
n = 5	Runtime = 1.6369995137210935e-06
n = 6	Runtime = 2.229000529041514e-06
n = 7	Runtime = 3.6080018617212772e-06
n = 8	Runtime = 1.4846998965367675e-05
n = 9	Runtime = 9.32100010686554e-06
n = 10	Runtime = 3.570199987734668e-05
n = 11	Runtime = 3.7279001844581217e-05
n = 12	Runtime = 5.961900023976341e-05
n = 13	Runtime = 0.0001019669980450999
n = 14	Runtime = 0.00017109699911088683
n = 15	Runtime = 0.0002426149985694792
n = 16	Runtime = 0.0002570120013842825
n = 17	Runtime = 0.0004553910002869088
n = 18	Runtime = 0.0007883960024628323
n = 19	Runtime = 0.001231483998708427
n = 20	Runtime = 0.0018235089992231224


Total runtime of the test session is 0.005296336003084434 seconds
