Runtime of the suite program for n going from 0 to 20

n = 0	Runtime = 5.519978003576398e-07
n = 1	Runtime = 2.0999868866056204e-07
n = 2	Runtime = 5.930014594923705e-07
n = 3	Runtime = 6.539994501508772e-07
n = 4	Runtime = 9.780014806892723e-07
n = 5	Runtime = 1.4760007616132498e-06
n = 6	Runtime = 2.269000106025487e-06
n = 7	Runtime = 3.5820012271869928e-06
n = 8	Runtime = 5.838999641127884e-06
n = 9	Runtime = 9.315001079812646e-06
n = 10	Runtime = 1.4932000340195373e-05
n = 11	Runtime = 2.4148001102730632e-05
n = 12	Runtime = 5.003499973099679e-05
n = 13	Runtime = 0.00010326900155632757
n = 14	Runtime = 0.00012830400009988807
n = 15	Runtime = 0.00017674999980954453
n = 16	Runtime = 0.00027826900259242393
n = 17	Runtime = 0.0005258339988358784
n = 18	Runtime = 0.0007082939991960302
n = 19	Runtime = 0.0010880900008487515
n = 20	Runtime = 0.0018716769991442561


Total runtime of the test session is 0.005057384001702303 seconds
