Runtime of the suite program for n going from 0 to 20

n = 0	Runtime = 4.52997483080253e-07
n = 1	Runtime = 2.3200118448585272e-07
n = 2	Runtime = 4.6499917516484857e-07
n = 3	Runtime = 5.599977157544345e-07
n = 4	Runtime = 1.034000888466835e-06
n = 5	Runtime = 1.4780016499571502e-06
n = 6	Runtime = 2.3609973140992224e-06
n = 7	Runtime = 3.631997969932854e-06
n = 8	Runtime = 5.7920005929190665e-06
n = 9	Runtime = 2.3598000552738085e-05
n = 10	Runtime = 2.8047001251252368e-05
n = 11	Runtime = 3.172400101902895e-05
n = 12	Runtime = 3.858700074488297e-05
n = 13	Runtime = 6.279299850575626e-05
n = 14	Runtime = 0.00012720300219370984
n = 15	Runtime = 0.00021369499881984666
n = 16	Runtime = 0.00025844999981927685
n = 17	Runtime = 0.0005600299991783686
n = 18	Runtime = 0.000704183999914676
n = 19	Runtime = 0.0011247869988437742
n = 20	Runtime = 0.0017462360010540579


Total runtime of the test session is 0.004984462000720669 seconds
