Runtime of the suite program for n going from 0 to 20

n = 0	Runtime = 5.040019459556788e-07
n = 1	Runtime = 2.3299799067899585e-07
n = 2	Runtime = 5.490001058205962e-07
n = 3	Runtime = 5.539986887015402e-07
n = 4	Runtime = 9.67000232776627e-07
n = 5	Runtime = 1.4430006558541209e-06
n = 6	Runtime = 2.2509993868879974e-06
n = 7	Runtime = 3.6240016925148666e-06
n = 8	Runtime = 5.869998858543113e-06
n = 9	Runtime = 9.207000402966514e-06
n = 10	Runtime = 1.4921999536454678e-05
n = 11	Runtime = 3.719999949680641e-05
n = 12	Runtime = 5.937899913988076e-05
n = 13	Runtime = 6.278699947870336e-05
n = 14	Runtime = 0.00010071599899674766
n = 15	Runtime = 0.0001634519976505544
n = 16	Runtime = 0.00026450199948158115
n = 17	Runtime = 0.0006338599996524863
n = 18	Runtime = 0.0007348270009970292
n = 19	Runtime = 0.0011384760000510141
n = 20	Runtime = 0.001805064999643946


Total runtime of the test session is 0.005079190999822458 seconds
