Runtime of the suite program for n going from 0 to 20

n = 0	Runtime = 3.850000211969018e-07
n = 1	Runtime = 2.0299921743571758e-07
n = 2	Runtime = 4.7399953473359346e-07
n = 3	Runtime = 6.150003173388541e-07
n = 4	Runtime = 9.71998815657571e-07
n = 5	Runtime = 1.4160032151266932e-06
n = 6	Runtime = 2.3040011001285166e-06
n = 7	Runtime = 3.5560005926527083e-06
n = 8	Runtime = 5.664998752763495e-06
n = 9	Runtime = 9.241000952897593e-06
n = 10	Runtime = 1.503000021330081e-05
n = 11	Runtime = 4.413699934957549e-05
n = 12	Runtime = 5.1611001254059374e-05
n = 13	Runtime = 6.687799759674817e-05
n = 14	Runtime = 0.00010110199946211651
n = 15	Runtime = 0.00016267899991362356
n = 16	Runtime = 0.00026709500161814503
n = 17	Runtime = 0.0005405929987318814
n = 18	Runtime = 0.000688849002472125
n = 19	Runtime = 0.0011131899991596583
n = 20	Runtime = 0.001839078999182675


Total runtime of the test session is 0.004953910000040196 seconds
