Runtime of the suite program for n going from 0 to 20

n = 0	Runtime = 6.09998096479103e-07
n = 1	Runtime = 2.399974619038403e-07
n = 2	Runtime = 6.250011210795492e-07
n = 3	Runtime = 6.759983079973608e-07
n = 4	Runtime = 9.630020940676332e-07
n = 5	Runtime = 1.4319994079414755e-06
n = 6	Runtime = 2.2740023268852383e-06
n = 7	Runtime = 3.5759985621552914e-06
n = 8	Runtime = 5.770998541265726e-06
n = 9	Runtime = 9.136001608567312e-06
n = 10	Runtime = 1.4927001757314429e-05
n = 11	Runtime = 2.4288001441163942e-05
n = 12	Runtime = 3.896500129485503e-05
n = 13	Runtime = 9.0023000666406e-05
n = 14	Runtime = 0.0001864930018200539
n = 15	Runtime = 0.0002867699986381922
n = 16	Runtime = 0.00026768499810714275
n = 17	Runtime = 0.000467510999442311
n = 18	Runtime = 0.0007092119994922541
n = 19	Runtime = 0.0010860660004254896
n = 20	Runtime = 0.001819592998799635


Total runtime of the test session is 0.005058844999439316 seconds
