Runtime of the suite program for n going from 0 to 20

n = 0	Runtime = 8.329989213962108e-07
n = 1	Runtime = 3.659988578874618e-07
n = 2	Runtime = 1.038002665154636e-06
n = 3	Runtime = 7.249982445500791e-07
n = 4	Runtime = 1.010001142276451e-06
n = 5	Runtime = 1.5540026652161032e-06
n = 6	Runtime = 2.3559987312182784e-06
n = 7	Runtime = 3.78299955627881e-06
n = 8	Runtime = 2.14870015042834e-05
n = 9	Runtime = 2.282499917782843e-05
n = 10	Runtime = 1.619300019228831e-05
n = 11	Runtime = 4.148300286033191e-05
n = 12	Runtime = 7.37570007913746e-05
n = 13	Runtime = 0.00010203800047747791
n = 14	Runtime = 0.00015567399896099232
n = 15	Runtime = 0.00033381399771315046
n = 16	Runtime = 0.00027237100221100263
n = 17	Runtime = 0.000456679001217708
n = 18	Runtime = 0.0006686779997835401
n = 19	Runtime = 0.00108860000182176
n = 20	Runtime = 0.0017957300005946308


Total runtime of the test session is 0.005133912000019336 seconds
