Runtime of the suite program for n going from 0 to 20

n = 0	Runtime = 6.619993655476719e-07
n = 1	Runtime = 2.349988790228963e-07
n = 2	Runtime = 4.920002538710833e-07
n = 3	Runtime = 5.869987944606692e-07
n = 4	Runtime = 9.409995982423425e-07
n = 5	Runtime = 1.5480000001844019e-06
n = 6	Runtime = 2.3049979063216597e-06
n = 7	Runtime = 3.668999852379784e-06
n = 8	Runtime = 5.835998308612034e-06
n = 9	Runtime = 9.204999514622614e-06
n = 10	Runtime = 1.5087000065250322e-05
n = 11	Runtime = 3.355199805810116e-05
n = 12	Runtime = 6.462699820986018e-05
n = 13	Runtime = 9.001400030683726e-05
n = 14	Runtime = 0.0001349140002275817
n = 15	Runtime = 0.00016522800069651566
n = 16	Runtime = 0.00026969499958795495
n = 17	Runtime = 0.0005583570018643513
n = 18	Runtime = 0.0007043539990263525
n = 19	Runtime = 0.0011206540002604015
n = 20	Runtime = 0.0017842189990915358


Total runtime of the test session is 0.005011779001506511 seconds
