Runtime of the suite program for n going from 0 to 10000

n = 0	Runtime = 9.400027920491993e-07
n = 100	Runtime = 1.375000283587724e-05
n = 200	Runtime = 2.3339998733717948e-05
n = 300	Runtime = 3.588000254239887e-05
n = 400	Runtime = 8.758299736655317e-05
n = 500	Runtime = 0.00010110400035046041
n = 600	Runtime = 7.333400208153762e-05
n = 700	Runtime = 0.0001487540030211676
n = 800	Runtime = 0.00013379799929680303
n = 900	Runtime = 0.0001233020011568442
n = 1000	Runtime = 0.00013602299804915674
n = 1100	Runtime = 0.00019429199892329052
n = 1200	Runtime = 0.00028815300174755976
n = 1300	Runtime = 0.0001996649989450816
n = 1400	Runtime = 0.00023282700203708373
n = 1500	Runtime = 0.0002573100027802866
n = 1600	Runtime = 0.0002537000000302214
n = 1700	Runtime = 0.00027108700305689126
n = 1800	Runtime = 0.00029368800096563064
n = 1900	Runtime = 0.00031417499849339947
n = 2000	Runtime = 0.0003360329974384513
n = 2100	Runtime = 0.0003550429973984137
n = 2200	Runtime = 0.00038046100235078484
n = 2300	Runtime = 0.00040812199949868955
n = 2400	Runtime = 0.0004585839997162111
n = 2500	Runtime = 0.0004571980025502853
n = 2600	Runtime = 0.0005224919987085741
n = 2700	Runtime = 0.0004961649974575266
n = 2800	Runtime = 0.0005171370030438993
n = 2900	Runtime = 0.0005442510009743273
n = 3000	Runtime = 0.0007934319983178284
n = 3100	Runtime = 0.0006228979982552119
n = 3200	Runtime = 0.0006246809971344192
n = 3300	Runtime = 0.0007878140022512525
n = 3400	Runtime = 0.0008636460006528068
n = 3500	Runtime = 0.0007080119976308197
n = 3600	Runtime = 0.0007304890023078769
n = 3700	Runtime = 0.000758744001359446
n = 3800	Runtime = 0.0008486919978167862
n = 3900	Runtime = 0.000822533002065029
n = 4000	Runtime = 0.0008535499982826877
n = 4100	Runtime = 0.0008832460007397458
n = 4200	Runtime = 0.0009606300009181723
n = 4300	Runtime = 0.000940511999942828
n = 4400	Runtime = 0.0009757619991432875
n = 4500	Runtime = 0.0010106490008183755
n = 4600	Runtime = 0.001092040998628363
n = 4700	Runtime = 0.0010807760008901823
n = 4800	Runtime = 0.0012189829976705369
n = 4900	Runtime = 0.0016456390003440902
n = 5000	Runtime = 0.0013116459995217156
n = 5100	Runtime = 0.0011923759993806016
n = 5200	Runtime = 0.0012533499975688756
n = 5300	Runtime = 0.0014363469999807421
n = 5400	Runtime = 0.0014440070008276962
n = 5500	Runtime = 0.0013659440010087565
n = 5600	Runtime = 0.0013351369998417795
n = 5700	Runtime = 0.0013565129993367009
n = 5800	Runtime = 0.001441538999642944
n = 5900	Runtime = 0.0014047090007807128
n = 6000	Runtime = 0.0014285590004874393
n = 6100	Runtime = 0.0020427429990377277
n = 6200	Runtime = 0.0016513049995410256
n = 6300	Runtime = 0.0015988539998943452
n = 6400	Runtime = 0.001571180000610184
n = 6500	Runtime = 0.0015961370008881204
n = 6600	Runtime = 0.0020386010000947863
n = 6700	Runtime = 0.0016641450019960757
n = 6800	Runtime = 0.001735136000206694
n = 6900	Runtime = 0.0017018569997162558
n = 7000	Runtime = 0.002019193001615349
n = 7100	Runtime = 0.0017760439986886922
n = 7200	Runtime = 0.0017912020011863206
n = 7300	Runtime = 0.0018102769972756505
n = 7400	Runtime = 0.0018351379985688254
n = 7500	Runtime = 0.0018435659985698294
n = 7600	Runtime = 0.0018345919997955207
n = 7700	Runtime = 0.0020153000004938804
n = 7800	Runtime = 0.001895785997476196
n = 7900	Runtime = 0.0023428319982485846
n = 8000	Runtime = 0.0019751110012293793
n = 8100	Runtime = 0.0020368879995658062
n = 8200	Runtime = 0.0021135909992153756
n = 8300	Runtime = 0.0020717379993584473
n = 8400	Runtime = 0.0021283419991959818
n = 8500	Runtime = 0.002135529000952374
n = 8600	Runtime = 0.0021954090007056948
n = 8700	Runtime = 0.0024972579994937405
n = 8800	Runtime = 0.0023014230027911253
n = 8900	Runtime = 0.0022472310010925867
n = 9000	Runtime = 0.002311055999598466
n = 9100	Runtime = 0.0025691619994177017
n = 9200	Runtime = 0.0024841369995556306
n = 9300	Runtime = 0.0026711280006566085
n = 9400	Runtime = 0.003515917000186164
n = 9500	Runtime = 0.0026057819995912723
n = 9600	Runtime = 0.002579370000603376
n = 9700	Runtime = 0.0025944510016415734
n = 9800	Runtime = 0.0025594760008971207
n = 9900	Runtime = 0.002673671999218641
n = 10000	Runtime = 0.003572532001271611


Total runtime of the test session is 0.12782811000215588 seconds
