Runtime of the suite program for n going from 0 to 10000

n = 0	Runtime = 9.239993232768029e-07
n = 100	Runtime = 1.2878001143690199e-05
n = 200	Runtime = 2.199600203312002e-05
n = 300	Runtime = 4.8988000344252214e-05
n = 400	Runtime = 7.342800017795525e-05
n = 500	Runtime = 8.433400216745213e-05
n = 600	Runtime = 0.00011415799963288009
n = 700	Runtime = 0.0001630589977139607
n = 800	Runtime = 0.00012809299732907675
n = 900	Runtime = 0.0001247709988092538
n = 1000	Runtime = 0.00012414799857651815
n = 1100	Runtime = 0.00015429400082211941
n = 1200	Runtime = 0.0001794500021787826
n = 1300	Runtime = 0.00021823099814355373
n = 1400	Runtime = 0.00022116299805929884
n = 1500	Runtime = 0.0002592349992482923
n = 1600	Runtime = 0.00025407100110896863
n = 1700	Runtime = 0.00028142600058345124
n = 1800	Runtime = 0.0003298129995528143
n = 1900	Runtime = 0.00029832600193913095
n = 2000	Runtime = 0.0003229770009056665
n = 2100	Runtime = 0.00033889900078065693
n = 2200	Runtime = 0.0003627399964898359
n = 2300	Runtime = 0.0004143690021010116
n = 2400	Runtime = 0.0004972490023646969
n = 2500	Runtime = 0.0005727829993702471
n = 2600	Runtime = 0.0004610010000760667
n = 2700	Runtime = 0.0004875660015386529
n = 2800	Runtime = 0.0005098059991723858
n = 2900	Runtime = 0.0005353069973352831
n = 3000	Runtime = 0.000558178002393106
n = 3100	Runtime = 0.0006141829981061164
n = 3200	Runtime = 0.0006650870018347632
n = 3300	Runtime = 0.0006966810033190995
n = 3400	Runtime = 0.0009542250008962583
n = 3500	Runtime = 0.000701664001098834
n = 3600	Runtime = 0.0007223559987323824
n = 3700	Runtime = 0.0007516469995607622
n = 3800	Runtime = 0.000845413000206463
n = 3900	Runtime = 0.0008130610003718175
n = 4000	Runtime = 0.0008430929992755409
n = 4100	Runtime = 0.0008753799993428402
n = 4200	Runtime = 0.0009603139988030307
n = 4300	Runtime = 0.0009325099999841768
n = 4400	Runtime = 0.0013168799996492453
n = 4500	Runtime = 0.001185684999654768
n = 4600	Runtime = 0.0010928949996014126
n = 4700	Runtime = 0.00107221500002197
n = 4800	Runtime = 0.0011000380000041332
n = 4900	Runtime = 0.0011366359976818785
n = 5000	Runtime = 0.0012753939990943763
n = 5100	Runtime = 0.0012127990012231749
n = 5200	Runtime = 0.0012464350002119318
n = 5300	Runtime = 0.001324019001913257
n = 5400	Runtime = 0.0012983919987163972
n = 5500	Runtime = 0.0012987630034331232
n = 5600	Runtime = 0.0013608000008389354
n = 5700	Runtime = 0.0018984730013471562
n = 5800	Runtime = 0.0016484840016346425
n = 5900	Runtime = 0.0014443260006373748
n = 6000	Runtime = 0.0014593160012736917
n = 6100	Runtime = 0.0015399329968204256
n = 6200	Runtime = 0.0015109900014067534
n = 6300	Runtime = 0.0015458470006706193
n = 6400	Runtime = 0.0015204539995465893
n = 6500	Runtime = 0.0015478889981750399
n = 6600	Runtime = 0.0016027150013542268
n = 6700	Runtime = 0.0022255399999266956
n = 6800	Runtime = 0.001859443000284955
n = 6900	Runtime = 0.0017352419999951962
n = 7000	Runtime = 0.0018096280000463594
n = 7100	Runtime = 0.0017520100009278394
n = 7200	Runtime = 0.0017615199976717122
n = 7300	Runtime = 0.0017527039999549743
n = 7400	Runtime = 0.0017843720015662257
n = 7500	Runtime = 0.001839571003074525
n = 7600	Runtime = 0.0019451419975666795
n = 7700	Runtime = 0.0022899459981999826
n = 7800	Runtime = 0.0019479639995552134
n = 7900	Runtime = 0.002014126999711152
n = 8000	Runtime = 0.001948088000062853
n = 8100	Runtime = 0.002090805999614531
n = 8200	Runtime = 0.0020481490028032567
n = 8300	Runtime = 0.0020653500032494776
n = 8400	Runtime = 0.002101218000461813
n = 8500	Runtime = 0.0025060910011234228
n = 8600	Runtime = 0.0022298420008155517
n = 8700	Runtime = 0.002199018999817781
n = 8800	Runtime = 0.0022283200014499016
n = 8900	Runtime = 0.002297820999956457
n = 9000	Runtime = 0.002312619999429444
n = 9100	Runtime = 0.002378997000050731
n = 9200	Runtime = 0.0028932809982507024
n = 9300	Runtime = 0.0025886969997372944
n = 9400	Runtime = 0.003087686000071699
n = 9500	Runtime = 0.002792444000078831
n = 9600	Runtime = 0.0025753750014700927
n = 9700	Runtime = 0.0025653119992057327
n = 9800	Runtime = 0.0035740839994105045
n = 9900	Runtime = 0.002662304999830667
n = 10000	Runtime = 0.002703827998630004


Total runtime of the test session is 0.1271122430007381 seconds
