Runtime of the suite program for n going from 0 to 10000

n = 0	Runtime = 9.159994078800082e-07
n = 100	Runtime = 2.8004000341752544e-05
n = 200	Runtime = 4.8900998081080616e-05
n = 300	Runtime = 6.216000110725872e-05
n = 400	Runtime = 5.94769990129862e-05
n = 500	Runtime = 5.906099977437407e-05
n = 600	Runtime = 0.00012267300189705566
n = 700	Runtime = 0.00015469800200662576
n = 800	Runtime = 0.0001393349994032178
n = 900	Runtime = 0.00011105700104963034
n = 1000	Runtime = 0.00012433799929567613
n = 1100	Runtime = 0.000166322999575641
n = 1200	Runtime = 0.00020506100190686993
n = 1300	Runtime = 0.0001943380011653062
n = 1400	Runtime = 0.00019896500089089386
n = 1500	Runtime = 0.00023888400028226897
n = 1600	Runtime = 0.0002315359997737687
n = 1700	Runtime = 0.0002529739977035206
n = 1800	Runtime = 0.00027347200011718087
n = 1900	Runtime = 0.00029598399851238355
n = 2000	Runtime = 0.00031149999995250255
n = 2100	Runtime = 0.00040065999928629026
n = 2200	Runtime = 0.0003556140000000596
n = 2300	Runtime = 0.0003794490003201645
n = 2400	Runtime = 0.00040211299710790627
n = 2500	Runtime = 0.0004895670026598964
n = 2600	Runtime = 0.0007114859981811605
n = 2700	Runtime = 0.0006459329997596797
n = 2800	Runtime = 0.0006292190009844489
n = 2900	Runtime = 0.0005651069986924995
n = 3000	Runtime = 0.0005521099992620293
n = 3100	Runtime = 0.0005780579995189328
n = 3200	Runtime = 0.0006037100029061548
n = 3300	Runtime = 0.0006359469989547506
n = 3400	Runtime = 0.0008712430026207585
n = 3500	Runtime = 0.0007435110019287094
n = 3600	Runtime = 0.0007222879976325203
n = 3700	Runtime = 0.0007456829989678226
n = 3800	Runtime = 0.0007729549979558215
n = 3900	Runtime = 0.0008040789980441332
n = 4000	Runtime = 0.0008907970004656818
n = 4100	Runtime = 0.0008675169992784504
n = 4200	Runtime = 0.0008994649979285896
n = 4300	Runtime = 0.0009253819989680778
n = 4400	Runtime = 0.001025460001983447
n = 4500	Runtime = 0.0009915010014083236
n = 4600	Runtime = 0.0010288000012224074
n = 4700	Runtime = 0.0015573439995932858
n = 4800	Runtime = 0.0013873679999960586
n = 4900	Runtime = 0.0011098649993073195
n = 5000	Runtime = 0.001301299998885952
n = 5100	Runtime = 0.0012486230007198174
n = 5200	Runtime = 0.0012499080003181007
n = 5300	Runtime = 0.001245161001861561
n = 5400	Runtime = 0.0013255649973871186
n = 5500	Runtime = 0.0012902960006613284
n = 5600	Runtime = 0.0013567870009865146
n = 5700	Runtime = 0.0013877579986001365
n = 5800	Runtime = 0.001363567997032078
n = 5900	Runtime = 0.0017468140031269286
n = 6000	Runtime = 0.00194900300266454
n = 6100	Runtime = 0.0015520169981755316
n = 6200	Runtime = 0.0015517520005232655
n = 6300	Runtime = 0.0015312779978557955
n = 6400	Runtime = 0.0015510609991906676
n = 6500	Runtime = 0.0016406409995397553
n = 6600	Runtime = 0.001605266999831656
n = 6700	Runtime = 0.0020893330001854338
n = 6800	Runtime = 0.001634287997148931
n = 6900	Runtime = 0.0021046349975222256
n = 7000	Runtime = 0.0020849309985351283
n = 7100	Runtime = 0.0018082759997923858
n = 7200	Runtime = 0.0017802549991756678
n = 7300	Runtime = 0.001801446000172291
n = 7400	Runtime = 0.0018077210006595124
n = 7500	Runtime = 0.001884037999843713
n = 7600	Runtime = 0.0018670559984457213
n = 7700	Runtime = 0.0018546639985288493
n = 7800	Runtime = 0.002737311999226222
n = 7900	Runtime = 0.002024207999056671
n = 8000	Runtime = 0.0019495430024107918
n = 8100	Runtime = 0.002086884000163991
n = 8200	Runtime = 0.0023387559995171614
n = 8300	Runtime = 0.002088447999994969
n = 8400	Runtime = 0.0021011290009482764
n = 8500	Runtime = 0.0023870320001151413
n = 8600	Runtime = 0.0028392480016918853
n = 8700	Runtime = 0.0022531930007971823
n = 8800	Runtime = 0.002275257997098379
n = 8900	Runtime = 0.00226994400145486
n = 9000	Runtime = 0.0023398830016958527
n = 9100	Runtime = 0.0026209219977317844
n = 9200	Runtime = 0.002953306000563316
n = 9300	Runtime = 0.002973252998344833
n = 9400	Runtime = 0.0031581229995936155
n = 9500	Runtime = 0.002516481003112858
n = 9600	Runtime = 0.0025429050001548603
n = 9700	Runtime = 0.002556141000241041
n = 9800	Runtime = 0.003084588002820965
n = 9900	Runtime = 0.003230970000004163
n = 10000	Runtime = 0.002864853999199113


Total runtime of the test session is 0.12972930099931546 seconds
