Runtime of the suite program for n going from 0 to 10000

n = 0	Runtime = 1.1699994502123445e-06
n = 100	Runtime = 1.4846002159174532e-05
n = 200	Runtime = 3.6491997889243066e-05
n = 300	Runtime = 3.640300201368518e-05
n = 400	Runtime = 4.8800000513438135e-05
n = 500	Runtime = 6.085900167818181e-05
n = 600	Runtime = 8.867100041243248e-05
n = 700	Runtime = 0.00010775000191642903
n = 800	Runtime = 0.00010168899825657718
n = 900	Runtime = 0.0001570839995110873
n = 1000	Runtime = 0.00015654999879188836
n = 1100	Runtime = 0.0001407570016453974
n = 1200	Runtime = 0.00020733700148412026
n = 1300	Runtime = 0.00026936100039165467
n = 1400	Runtime = 0.0002510539998183958
n = 1500	Runtime = 0.00023004799732007086
n = 1600	Runtime = 0.00024880799901438877
n = 1700	Runtime = 0.00027203499848837964
n = 1800	Runtime = 0.00029333599741221406
n = 1900	Runtime = 0.0003112209997198079
n = 2000	Runtime = 0.0003360900009283796
n = 2100	Runtime = 0.00035534299968276173
n = 2200	Runtime = 0.0003798020006797742
n = 2300	Runtime = 0.00040392599839833565
n = 2400	Runtime = 0.0004267900003469549
n = 2500	Runtime = 0.0004716359981102869
n = 2600	Runtime = 0.0004580909990181681
n = 2700	Runtime = 0.00048421300016343594
n = 2800	Runtime = 0.000511701000505127
n = 2900	Runtime = 0.0005309329972078558
n = 3000	Runtime = 0.0005554830022447277
n = 3100	Runtime = 0.0005814729993289802
n = 3200	Runtime = 0.000678178999805823
n = 3300	Runtime = 0.0006221760013431776
n = 3400	Runtime = 0.0009231809999619145
n = 3500	Runtime = 0.0007653930006199516
n = 3600	Runtime = 0.0007062950026011094
n = 3700	Runtime = 0.0007277539989445359
n = 3800	Runtime = 0.0009375510016980115
n = 3900	Runtime = 0.001077963002899196
n = 4000	Runtime = 0.0010799149968079291
n = 4100	Runtime = 0.0008572940023441333
n = 4200	Runtime = 0.0009335270005976781
n = 4300	Runtime = 0.0009065289996215142
n = 4400	Runtime = 0.0009393559994350653
n = 4500	Runtime = 0.001013375000184169
n = 4600	Runtime = 0.001055933000316145
n = 4700	Runtime = 0.0010561050003161654
n = 4800	Runtime = 0.0010980670012941118
n = 4900	Runtime = 0.0011783570007537492
n = 5000	Runtime = 0.0011995070017292164
n = 5100	Runtime = 0.001243070000782609
n = 5200	Runtime = 0.0014686609974887688
n = 5300	Runtime = 0.0014055690007808153
n = 5400	Runtime = 0.0019233300008636434
n = 5500	Runtime = 0.0014212690002750605
n = 5600	Runtime = 0.0013604539999505505
n = 5700	Runtime = 0.0013963040000817273
n = 5800	Runtime = 0.0014610159996664152
n = 5900	Runtime = 0.0014319849979074206
n = 6000	Runtime = 0.0014540250012942124
n = 6100	Runtime = 0.0015226979994622525
n = 6200	Runtime = 0.0014832619999651797
n = 6300	Runtime = 0.0017624629981582984
n = 6400	Runtime = 0.0018176530029450078
n = 6500	Runtime = 0.0016576460002397653
n = 6600	Runtime = 0.0019120520009892061
n = 6700	Runtime = 0.0017353969997202512
n = 6800	Runtime = 0.001720833002764266
n = 6900	Runtime = 0.0016939080014708452
n = 7000	Runtime = 0.001751191000948893
n = 7100	Runtime = 0.0016971510012808722
n = 7200	Runtime = 0.00177627700031735
n = 7300	Runtime = 0.002161888998671202
n = 7400	Runtime = 0.0020814420022361446
n = 7500	Runtime = 0.0018173940006818157
n = 7600	Runtime = 0.0018357199987804051
n = 7700	Runtime = 0.0019047579990001395
n = 7800	Runtime = 0.001915986998938024
n = 7900	Runtime = 0.001921782000863459
n = 8000	Runtime = 0.001968271997611737
n = 8100	Runtime = 0.0019670259971462656
n = 8200	Runtime = 0.0024890979984775186
n = 8300	Runtime = 0.0021405509978649206
n = 8400	Runtime = 0.0021827989985467866
n = 8500	Runtime = 0.002153200999600813
n = 8600	Runtime = 0.002190829000028316
n = 8700	Runtime = 0.0021411589987110347
n = 8800	Runtime = 0.002243599999928847
n = 8900	Runtime = 0.0022055679983168375
n = 9000	Runtime = 0.0026467979987501167
n = 9100	Runtime = 0.0026317779993405566
n = 9200	Runtime = 0.002476690999174025
n = 9300	Runtime = 0.002581018998171203
n = 9400	Runtime = 0.0033949450007639825
n = 9500	Runtime = 0.003181972999300342
n = 9600	Runtime = 0.0031649779994040728
n = 9700	Runtime = 0.002655626001796918
n = 9800	Runtime = 0.0026634269997884985
n = 9900	Runtime = 0.0025926130001607817
n = 10000	Runtime = 0.0026790850024553947


Total runtime of the test session is 0.1277919659987674 seconds
