Runtime of the suite program for n going from 0 to 10000

n = 0	Runtime = 1.0969997674692422e-06
n = 100	Runtime = 1.3097000191919506e-05
n = 200	Runtime = 2.306500027771108e-05
n = 300	Runtime = 7.116399865481071e-05
n = 400	Runtime = 6.668499918305315e-05
n = 500	Runtime = 0.00010968000060529448
n = 600	Runtime = 0.00013866700101061724
n = 700	Runtime = 0.00011350700151524507
n = 800	Runtime = 0.00012227200204506516
n = 900	Runtime = 0.00011581099897739477
n = 1000	Runtime = 0.0001284749996557366
n = 1100	Runtime = 0.00016738200065447018
n = 1200	Runtime = 0.00018164399807574227
n = 1300	Runtime = 0.0001777869983925484
n = 1400	Runtime = 0.00019753299784497358
n = 1500	Runtime = 0.00026629700005287305
n = 1600	Runtime = 0.0003162320026603993
n = 1700	Runtime = 0.00035687099807546474
n = 1800	Runtime = 0.0002740300005825702
n = 1900	Runtime = 0.0003734499987331219
n = 2000	Runtime = 0.00041574200076865964
n = 2100	Runtime = 0.00041995500214397907
n = 2200	Runtime = 0.0003564690014172811
n = 2300	Runtime = 0.0003785339977184776
n = 2400	Runtime = 0.00046328799726325087
n = 2500	Runtime = 0.000431203003245173
n = 2600	Runtime = 0.0004541589987638872
n = 2700	Runtime = 0.00047873699804767966
n = 2800	Runtime = 0.0005075160006526858
n = 2900	Runtime = 0.0005260469988570549
n = 3000	Runtime = 0.0005507599998963997
n = 3100	Runtime = 0.0005774420023954008
n = 3200	Runtime = 0.0006528769990836736
n = 3300	Runtime = 0.0006337960003293119
n = 3400	Runtime = 0.0008861210008035414
n = 3500	Runtime = 0.0006929619994480163
n = 3600	Runtime = 0.0007190140022430569
n = 3700	Runtime = 0.00079226399975596
n = 3800	Runtime = 0.0007708129996899515
n = 3900	Runtime = 0.0008028060001379345
n = 4000	Runtime = 0.0008344439993379638
n = 4100	Runtime = 0.0008660660023451783
n = 4200	Runtime = 0.0009469849974266253
n = 4300	Runtime = 0.0011420500013628043
n = 4400	Runtime = 0.001417367999238195
n = 4500	Runtime = 0.001140652999310987
n = 4600	Runtime = 0.0010333249992982019
n = 4700	Runtime = 0.0010616940016916487
n = 4800	Runtime = 0.0010976550001942087
n = 4900	Runtime = 0.0011882110011356417
n = 5000	Runtime = 0.001255043000128353
n = 5100	Runtime = 0.0012048520002281293
n = 5200	Runtime = 0.001273230998776853
n = 5300	Runtime = 0.001279823001823388
n = 5400	Runtime = 0.0012800100012100302
n = 5500	Runtime = 0.0013329260000318754
n = 5600	Runtime = 0.001357309000013629
n = 5700	Runtime = 0.0023386869979731273
n = 5800	Runtime = 0.0014711959993292112
n = 5900	Runtime = 0.001390211000398267
n = 6000	Runtime = 0.001474786000471795
n = 6100	Runtime = 0.0014664100017398596
n = 6200	Runtime = 0.0014613749990530778
n = 6300	Runtime = 0.0015323080006055534
n = 6400	Runtime = 0.001511694001237629
n = 6500	Runtime = 0.0015412690008815844
n = 6600	Runtime = 0.001697731000604108
n = 6700	Runtime = 0.0025241359981009737
n = 6800	Runtime = 0.0019717499999387655
n = 6900	Runtime = 0.0016885830009414349
n = 7000	Runtime = 0.001768385001923889
n = 7100	Runtime = 0.0018239159981021658
n = 7200	Runtime = 0.0017828109994297847
n = 7300	Runtime = 0.0017723950004437938
n = 7400	Runtime = 0.001823601000069175
n = 7500	Runtime = 0.0017997109971474856
n = 7600	Runtime = 0.002662529001099756
n = 7700	Runtime = 0.002038266000454314
n = 7800	Runtime = 0.0020361900023999624
n = 7900	Runtime = 0.0019760970026254654
n = 8000	Runtime = 0.0020001519987999927
n = 8100	Runtime = 0.002015264002693584
n = 8200	Runtime = 0.0020227380009600893
n = 8300	Runtime = 0.002048798000032548
n = 8400	Runtime = 0.0028973420012334827
n = 8500	Runtime = 0.002401452999038156
n = 8600	Runtime = 0.002184840999689186
n = 8700	Runtime = 0.0022299989977909718
n = 8800	Runtime = 0.0022611669992329553
n = 8900	Runtime = 0.002301168002304621
n = 9000	Runtime = 0.0022293570000329055
n = 9100	Runtime = 0.0030561749990738463
n = 9200	Runtime = 0.0025834970001596957
n = 9300	Runtime = 0.0030877630015311297
n = 9400	Runtime = 0.0031149940004979726
n = 9500	Runtime = 0.002590048999991268
n = 9600	Runtime = 0.0025432069996895734
n = 9700	Runtime = 0.003334445002110442
n = 9800	Runtime = 0.0027623620007943828
n = 9900	Runtime = 0.002676262000022689
n = 10000	Runtime = 0.0026922179968096316


Total runtime of the test session is 0.12942194800052675 seconds
